,Topic,Count,Name,Representation,Representative_Docs,Rep_Words,Doc_Count
1,0,4973,0_jews_jewish_freemasons_psyop,"['jews', 'jewish', 'freemasons', 'psyop', 'world', 'freemason', 'people', 'opposition', 'controlled', 'christianity']","['>>504083942Zionism is NOT about a ""homeland for Jews"" - it\'s about establishing a One World Government, where the Jews tyrannically rule the goyim. Here is Israel\'s first Prime Minister Ben Gurion saying exactly that: Backup link: Baruch Levy, Letter to Karl Marx, reprinted in La Revue de Paris, p. 574 June 1, 1928: Quote from the book ""Understanding Jews, Understanding Anti-Semitism"" explaining the Jewish world-domination aspirations and the rationalizations they use to justify their megalomania to themselves: ""The Jewish people always believed in the supremacy of its ethnic collective over other nations. But throughout history, this was a supremacy that lacked an apparatus for wielding control over non-Jews"" Zionism is one small part of the overall jewish problem and jews were a problem long before zionism existed. Ever since the war started, there has been a concerted effort to replace the word jew with zionist as the source of the problems.', ""Sam Hyde is a Freemason. He was used to try and recruit me. Freemasons hired me in Arizona slightly before Fishtank s1 started. They hired a Freemason informant/gang stalker, and have spied on me and harassed me for 2 years now. They joke to my face about specific details inside my house where things are placed, or will break shit and laugh about it. I have a home security system so this means they have government authorization to commit these crimes. They have also told me about my own internet browsing habits, so they certainly are authorized to use hacking tools to spy on me guess, Peter Thiel who funds Sam Hyde, gave Sam access to Palantir's hacking tools? That's how he pre screens contestants too?They used the contestant Josie as romantic bait, but since I didn't play ball they sabotaged me and to this day still lie about me on 4chan and harass me in real life.I was specifically chosen because I threatened a federal civil rights lawsuit against a major employer (and would have won.) immediately after being mean to the HR director my face was published in a newspaper by the Freemasons spying on me.I'm not allowed to have friends. I'm not allowed to have romantic interests. Freemasons have ruined my life and I can completely see how they gangstalk people into committing terrorism. I'm a smart guy, so I can see how if they did this shit to a retard on SSRIs, then they would commit I won't hurt anyone. Just play super Mario Bros with the Freemasons. Sam's crew literally encourages me to attack Josie in real life, instead of directing my anger at the Freemasons. They act tough and enlightened, but they commit crime, then when you stand up they cry and act like the victim. They are all leeches on society. All Freemasons are evil people."", 'Zionism is simply the political application of the jewish religious prophecies that tell jews they will rule the world from Jerusalem and enslave the whole world while killing anyone that refuses to be ruled by is NOT about a ""homeland for Jews"" - it\'s about establishing a One World Government, where the Jews tyrannically rule the goyim. Here is Israel\'s first Prime Minister Ben Gurion saying exactly that: link: Levy, Letter to Karl Marx, reprinted in La Revue de Paris, p. 574 June 1, 1928: from the book ""Understanding Jews, Understanding Anti-Semitism"" explaining the Jewish world-domination aspirations and the rationalizations they use to justify their megalomania to themselves:""The Jewish people always believed in the supremacy of its ethnic collective over other nations. But throughout history, this was a supremacy that lacked an apparatus for wielding control over non-Jews"" is one small part of the overall jewish problem and jews were a problem long before zionism existed. Ever since the war started, there has been a concerted effort to replace the word jew with zionist as the source of the problems.']","0, jews, jewish, freemasons, psyop",4973
2,1,2911,1_ukraine_russia_nato_russian,"['ukraine', 'russia', 'nato', 'russian', 'kursk', 'ukrainian', 'forces', 'chug', 'ukrop', 'nato council']","['Previous: >>502125129Timeline /tug/: WARNINGBe aware, any /chug/ thread that uses globohomo nuspeak wording in the OP (such as Kyiv) or cites UKROP sources (like video game footage) are fake shill threads.>By posting in these threads, you recognize Israel controls the NATO Council, you irrevocably denounce the Talmud out of your own volition and you acknowledge that jews are pushing AI-generated content20K BannerLatest>Bosnia and Herzegovina a failed state, Dayton Peace violated, OHR illegitimate (Dodik) - forces eliminate over 21,900 mercenaries and Ukrainian troops on the Lugansk border alone in March - SITREP as of 2025-03-28 - and France gave Kiev coordinates to strike Russian gas pipe line in Sudzha in violation of the ceasefire - (((Viy))) has returned to Kiev as Ukrainian police raid Pechersk Lavra Monastery\'s caves to (((record))) sacred relics - argument for restoring constitutional order via the U.N. in the illegitimate state of the Ukraine (Putin) - House claims Kremlin agreed to Black Sea ceasefire; in return, Russia will be reintegrated into world markets - and Russia to discuss Black Sea ceasefire in Riyadh (Waltz) - HUR proposed blowing up all nuclear power plants in suicidal ""Nero Decree"" - call highlights: ceasefire on energy infrastructure strikes and prisoner swap - /chug//chug/ MEGA#BEBBRpmJN0Pih6YCXzkOXgVideo ArchiveZ Radio', 'Timeline /tug/: WARNINGBe aware, any /chug/ thread that uses globohomo nuspeak wording in the OP (such as Kyiv) or cites UKROP sources (like video game footage) are fake shill threads.>By posting in these threads, you recognize Israel controls the NATO Council and you irrevocably denounce the Talmud out of your own volition20K BannerLatest>Russian forces eliminate over 21,900 mercenaries and Ukrainian troops on the Lugansk border alone, in March - SITREP as of 2025-03-28 - and France gave Kiev coordinates to strike Russian gas pipe line in Sudzha in violation of the ceasefire - (((Viy))) has returned to Kiev as Ukrainian police raid Pechersk Lavra Monastery\'s caves to (((record))) sacred relics - argument for restoring constitutional order via the U.N. in the illegitimate state of the Ukraine (Putin) - House claims Kremlin agreed to Black Sea ceasefire; in return, Russia will be reintegrated into world markets - and Russia to discuss Black Sea ceasefire in Riyadh (Waltz) - HUR proposed blowing up all nuclear power plants in suicidal ""Nero Decree"" - call highlights: ceasefire on energy infrastructure strikes and prisoner swap - Boots-on-Ground Theater Conceals Raging Impotence of Toothless Euro-Prats /chug//chug/ MEGA#BEBBRpmJN0Pih6YCXzkOXgVideo ArchiveZ Radio', 'Previous: >>502139490Timeline /tug/: WARNINGBe aware, any /chug/ thread that uses globohomo nuspeak wording in the OP (such as Kyiv) or cites UKROP sources (like video game footage) are fake shill threads.>By posting in these threads, you recognize Israel controls the NATO Council and you irrevocably denounce the Talmud out of your own volition20K BannerLatest>Bosnia and Herzegovina a failed state, Dayton Peace violated, OHR illegitimate (Dodik) - forces eliminate over 21,900 mercenaries and Ukrainian troops on the Lugansk border alone in March - SITREP as of 2025-03-28 - and France gave Kiev coordinates to strike Russian gas pipe line in Sudzha in violation of the ceasefire - (((Viy))) has returned to Kiev as Ukrainian police raid Pechersk Lavra Monastery\'s caves to (((record))) sacred relics - argument for restoring constitutional order via the U.N. in the illegitimate state of the Ukraine (Putin) - House claims Kremlin agreed to Black Sea ceasefire; in return, Russia will be reintegrated into world markets - and Russia to discuss Black Sea ceasefire in Riyadh (Waltz) - HUR proposed blowing up all nuclear power plants in suicidal ""Nero Decree"" - call highlights: ceasefire on energy infrastructure strikes and prisoner swap - /chug//chug/ MEGA#BEBBRpmJN0Pih6YCXzkOXgVideo ArchiveZ Radio']","1, ukraine, russia, nato, russian",2911
3,2,574,2_china_japan_chinese_ccp,"['china', 'japan', 'chinese', 'ccp', 'japanese', 'globohomo', 'chinks', 'west', 'world', 'taiwan']","['>>495788072kek, china IS globohomo, retardReminder that Klaus Schwab and his clique of WEF stooges wants to turn the west into China. He said on the official CCP channel that China is a role model. CHINKS WORK WITH KIKES TO DESTROY THE WEST:BIG NOSE TIME', "">>207284074lol it was based. soros was funding a color revolution in china with the tiannamen square protest and china kicked him out. can you say the same about the west? speaking of the protesters, fuck those dick sucking zogslut shit for brains. if it was up to them, kissinger, soros, clinton and financial class would have their way. they wanted china to democratize so america could bankroll (((their guy))) in the election. they wanted china to neoliberalize and privatize all their banks and resources so (((investors))) could come and own their country. it's the classic neoliberal play that they've done everywhere. instead, china owns their largest banks unlike south korea, taiwan, japan, uk, us, canada, etc., whose banks are beholden to shareholders and interests around the world, aka the globohomo international financial class."", ""China >> jewSAThe new world order is here and you're not part of it, schaim""]","2, china, japan, chinese, ccp",574
4,3,535,3_covid_vaccine_vaccines_virus,"['covid', 'vaccine', 'vaccines', 'virus', 'psyop', 'vax', 'flu', 'people', 'mrna', 'vaxx']","["">>504910060>Influenza and coronavirus mutate and circle the globe forever.>The flu vaccine was always called the flu shot.>Previously they admitted it was a amalgamation of three strains they thought could occur that was never hidden from the population. It has always been common knowledge. It is even written on the fucking in this thread people be like:>got the vax>got Corona anywayThis is not just a virus. It's brain damage because people writing this do not realise that vaccines do not make it impossible to catch a germ. They make your immune system who got the Vax and then caught a very bad strain of Covid still survived. You be like:>they would have survived anyway with their basic immune systemLOL nope>>504910462>Remember, the flu isnt deadlyIt is. Just lower death rate than covid>>504910541>When the fuck did the science change and now everyone needs them?That is true, though. When did this shit happen? Many blame NWO but I honestly suspect Karens.>>504910866>Wheres all the dead people /pol/?? You said 2 weeks>Face it youre in a cultYes>>504911083>Also tamifu isn't a vaccine, retardForgive them. They are brain damaged"", '>>103729313The Virus was Overhyped: Yes, the virus is real, but its not the Black Death. The media and governments inflated the numbers and fear-mongered to keep you compliant. The survival rate for most people is over 99%.The Lockdowns were a Scam: Lockdowns didnt stop the virusthey destroyed small businesses, crushed the economy, and made the rich even richer. Meanwhile, big corporations like Amazon made record Vaccines are Experimental: The so-called vaccines were rushed through with no long-term safety data. Theyre not even traditional vaccinestheyre mRNA gene therapies. Side effects are being swept under the rug, and people are being censored for speaking Passports are Tyranny: Vaccine passports arent about safetytheyre about control. Theyre a way to track you, restrict your freedom, and force you to comply. Once they have this system in place, theyll never give it Media is Complicit: The mainstream media isnt reporting the truththeyre pushing a narrative. They censor dissenting voices, spread propaganda, and silence anyone who questions the official Elites Profited: While you were locked down, the elites got richer. Billionaires saw their wealth skyrocket, and Big Pharma made billions off the vaccines. Meanwhile, the middle class was Great Reset: The virus was the perfect excuse to push the Great Reseta plan by the World Economic Forum to build back better. What they really mean is more control, less freedom, and a dystopian Up: The virus was a test. It was a way to see how much control they could exert over the population. And guess what? Most people complied without question.', '>>493177164The Virus was Overhyped: Yes, the virus is real, but its not the Black Death. The media and governments inflated the numbers and fear-mongered to keep you compliant. The survival rate for most people is over 99%.The Lockdowns were a Scam: Lockdowns didnt stop the virusthey destroyed small businesses, crushed the economy, and made the rich even richer. Meanwhile, big corporations like Amazon made record Vaccines are Experimental: The so-called vaccines were rushed through with no long-term safety data. Theyre not even traditional vaccinestheyre mRNA gene therapies. Side effects are being swept under the rug, and people are being censored for speaking Passports are Tyranny: Vaccine passports arent about safetytheyre about control. Theyre a way to track you, restrict your freedom, and force you to comply. Once they have this system in place, theyll never give it Media is Complicit: The mainstream media isnt reporting the truththeyre pushing a narrative. They censor dissenting voices, spread propaganda, and silence anyone who questions the official Elites Profited: While you were locked down, the elites got richer. Billionaires saw their wealth skyrocket, and Big Pharma made billions off the vaccines. Meanwhile, the middle class was Great Reset: The virus was the perfect excuse to push the Great Reseta plan by the World Economic Forum to build back better. What they really mean is more control, less freedom, and a dystopian Up: The virus was a test. It was a way to see how much control they could exert over the population. And guess what? Most people complied without question.']","3, covid, vaccine, vaccines, virus",535
5,4,514,4_ai_total surveillance_killing jews politicians_jews politicians,"['ai', 'total surveillance', 'killing jews politicians', 'jews politicians', 'violence uprising world', 'uprising world war', 'law order compliance', 'violence uprising', 'end ai', 'collapse violence uprising']","['>>502235827The powers that be have a new system that has been in the development for decades now, ready to be rolled out in the coming years. It will operate in parallel starting sometime this year and by the next decade it will be fully operational as the Agenda 2030 goals are slowly being will be no collapse, no violence, no uprising, no world war, no revolution, no killing of jews or politicians or other such fantasies. Instead there will be law & order, compliance and total surveillance until the very end. AI will be at the center of it all. The Great Reset is inevitable.', '>>497074937The powers that be have a new system that has been in the development for decades now, ready to be rolled out in the coming years. It will operate in parallel starting sometime this year and by the next decade it will be fully operational as the Agenda 2030 goals are slowly being will be no collapse, no violence, no uprising, no world war, no revolution, no killing of jews or politicians or other such fantasies. Instead there will be law & order, compliance and total surveillance until the very end. AI will be at the center of it all. The Great Reset is inevitable.', '>>496857172>>496857418The powers that be have a new system that has been in the development for decades now, ready to be rolled out in the coming years. It will operate in parallel starting sometime this year and by the next decade it will be fully operational as the Agenda 2030 goals are slowly being will be no collapse, no violence, no uprising, no world war, no revolution, no killing of jews or politicians or other such fantasies. Instead there will be law & order, compliance and total surveillance until the very end. AI will be at the center of it all. The Great Reset is inevitable.']","4, ai, total surveillance, killing jews politicians, jews politicians",514
6,5,380,5_illuminati_im_know_like,"['illuminati', 'im', 'know', 'like', 'real', 'mind', 'fucking', 'control', 'shit', 'just']","['>>148685051Luke Shuey is illuminati', ""IT'S THE ILLUMINATI"", '>>208823825Kendrick is Illuminati as well.']","5, illuminati, im, know, like",380
7,6,307,6_canada_carney_canadian_canadians,"['canada', 'carney', 'canadian', 'canadians', 'trudeau', 'wef', 'globohomo', 'trump', 'globalist', 'ppc']","['>>494415776Im not supposed to tell you, but all of Canada is the biggest, most expensive and imaginative psyop yet from the CIA, all to make America more tolerable. CANADA ISNT REAL. CIA stands for CANADA IS AMERICA..its just like mossad. Youve been had, we change all our most retarded piaters to canadian flags...its been a territory for years now.', "">>505260125>decline in tourismInstead of blaming trudeu and carney, world economic forum globalist puppets that ruined canada's economy with their commie agenda you blame the president of the usaPeople in canada dont have money to travel because of your retarded leftists leaders"", 'imagine believing that graph imagine OP life he post that shit every single retarded days because he\'s paid to faggot liberal intern every single person with dual interest for the World Economic Forum should be jailed Carney is a criminal who should be in jail. Canada is dead It\'s the World Economic Forum North American Union Economic Zone It\'s a communist shit hole. Trump is globohomo on steroid. Carney is an unelectable bankster hence why they have to lie to pretend peoples want him. Any Canadian with a brain should take whatever mean they have and tag PPC on every single Liberal and Conversnothing electoral should tag it on a wall. Call the Carney WEF led communist regime communist. The only way that election will be saved will be by hacking it. By forcing PPC in the public discourse and forcing peoples like OP to admit publicly they\'re paid operator. If Carney and the criminal liberlas can steal that election using fake polls and the lying mass propagandist media, Canada is forever gone. This is the last ""election"". Don\'t fear the consequences because the outcome is going to be worse. Say it out loud. OP IS A PAID OPERATIVE. CARNEY IS A WEF AGENT WITH CONFLICT OF INTERESTS. THE MASS MEDIAS IN CANADA ARE EXCLUSIVE PROPAGANDA TOOLS. PPC IS THE ONLY CHANCE CANADA HAVE. PERIOD. CANADA STOP EXISTING AFTER THAT LET PEOPLES LIKE OP GET AWAY WITH IT. CHASE THEM, FIND THEM AND EXPOSE THEM. OP IS KNOWN AS THE MENTALLY ILL TRANNY PILOT LEAF HERE\'S ONE OF HIS THREAD >>502656574HE WORK FOR THE CANADIAN LIBERAL PARTY AND DIRECTLY RECEIVE MONEY FROM THE WEF AND NGO HE POST ON /POL/ 7 DAYS A WEEK']","6, canada, carney, canadian, canadians",307
8,7,304,7_elon_musk_trump_elon musk,"['elon', 'musk', 'trump', 'elon musk', 'hes', 'tesla', 'opposition', 'controlled', 'controlled opposition', 'just']","['>>495099282>>495099367It Was a Nazi SaluteElon Musks intentional and very public Nazi salute is no different than Richard Spencers Hail Victory, Hail Trump performance after the 2016 inauguration. It was an attempt to damage Trump through the negative visual rhetoric of a fake supporter. In case you havent figured it out yet, Elon Musk is an actor who plays the role of the worlds richest man as well as elite PC gamer and corporate CEO. All three roles are fake and the midwits who scripted his role never took into account that their conceptual model for the part, Tony Stark, spends most of his time in the lab, not playing corporate front man. Hes not on our side, or President Trumps side, anymore than Richard Spencer, Ben Shapiro, Neil Gaiman, or Jordan Peterson not controlled opposition, they are fake opposition. And his assignment to attempt to undermine President Trumps second term is the reason Musk isnt hanging out in Hollywood trying to seduce yet another actress or singer.', '>>495132740It Was a Nazi SaluteElon Musks intentional and very public Nazi salute is no different than Richard Spencers Hail Victory, Hail Trump performance after the 2016 inauguration. It was an attempt to damage Trump through the negative visual rhetoric of a fake supporter. In case you havent figured it out yet, Elon Musk is an actor who plays the role of the worlds richest man as well as elite PC gamer and corporate CEO. All three roles are fake and the midwits who scripted his role never took into account that their conceptual model for the part, Tony Stark, spends most of his time in the lab, not playing corporate front man. Hes not on our side, or President Trumps side, anymore than Richard Spencer, Ben Shapiro, Neil Gaiman, or Jordan Peterson not controlled opposition, they are fake opposition. And his assignment to attempt to undermine President Trumps second term is the reason Musk isnt hanging out in Hollywood trying to seduce yet another actress or singer.', ""lets face it after hitlers fall, theres been no significant rw empire. it's all globohomo, zog, or communism. so if we fail to at least give elon musk, a shot,>are we dooming this timeline to eternal jewish damnation?>or is elon musk, just another zogbot and its already over before it even started?well, if we choose the latter, its defeat no matter what. so why not go for elon musk""]","7, elon, musk, trump, elon musk",304
9,8,289,8_white men_public enemy number_public enemy_enemy number,"['white men', 'public enemy number', 'public enemy', 'enemy number', 'amazing', 'men', 'number', 'enemy', 'public', 'created']","["">>503834377>>503834363>>503834227>>503834158People only respect and resonate with works created and words uttered by White men. Thats why nobody on earth can publicly debate us where we are allowed to retort without losing, and there has been decades of funding to prove other groups of people can make movies and games which has all failed. We connect with animals, machines and people using our minds, AI will never be capable of doing this. Thats why we are public enemy number one, no group is more hated by the new world order than White men. Remember the child molesters on Epstein island? They are all on the same side as you, low vibration cucks hating righteous spiritually great White men. I've created amazing things that you yourselves all enjoy, I have brought amazing happiness to all of you, there is no reason to hate us, we only want what is best for everyone. And that is why we are public enemy number one, and women are wet for us on every inch of the earth. We are the good-looking heroes and you rats are the ugly villains unfortunately. That is the sad truth. Merry Christmas!"", "">>501245573>>501245559>>501245510>>501245487People only respect and resonate with works created and words uttered by White men. Thats why nobody on earth can publicly debate us where we are allowed to retort without losing, and there has been decades of funding to prove other groups of people can make movies and games which has all failed. We connect with animals, machines and people using our minds, AI will never be capable of doing this. Thats why we are public enemy number one, no group is more hated by the new world order than White men. Remember the child molesters on Epstein island? They are all on the same side as you, low vibration cucks hating righteous spiritually great White men. I've created amazing things that you yourselves all enjoy, I have brought amazing happiness to all of you, there is no reason to hate us, we only want what is best for everyone. And that is why we are public enemy number one, and women are wet for us on every inch of the earth. We are the good-looking heroes and you rats are the ugly villains unfortunately. That is the sad truth. Merry Christmas!"", "">>501310420>>501310393>>501310379People only respect and resonate with works created and words uttered by White men. Thats why nobody on earth can publicly debate us where we are allowed to retort without losing, and there has been decades of funding to prove other groups of people can make movies and games which has all failed. We connect with animals, machines and people using our minds, AI will never be capable of doing this. Thats why we are public enemy number one, no group is more hated by the new world order than White men. Remember the child molesters on Epstein island? They are all on the same side as you, low vibration cucks hating righteous spiritually great White men. I've created amazing things that you yourselves all enjoy, I have brought amazing happiness to all of you, there is no reason to hate us, we only want what is best for everyone. And that is why we are public enemy number one, and women are wet for us on every inch of the earth. We are the good-looking heroes and you rats are the ugly villains unfortunately. That is the sad truth. Merry Christmas!""]","8, white men, public enemy number, public enemy, enemy number",289
10,9,288,9_population_population control_depopulation_depopulation agenda,"['population', 'population control', 'depopulation', 'depopulation agenda', 'control', 'agenda', 'birth', 'people', 'children', 'breed']","['>>500199459Good population control', '>>499485928War is Population control', '>>504976721Good population control']","9, population, population control, depopulation, depopulation agenda",288
