,Topic,Count,Name,Representation,Representative_Docs,Rep_Words,Doc_Count
1,0,11054,0_covid_people_vaccines_vaccine,"['covid', 'people', 'vaccines', 'vaccine', 'like', 'just', 'trump', 'kill', 'die', 'dont']","['What\'s terrifying to me is that RFK Jr. has made it very clear he\'s going to fuck around with vaccines. His pulling funding on covid vaccine research, ""pausing"" the flu research. So the goal is going to be to take away choice. And that\'s going to really hit children hard.', ""Stopping Medicaid or Medicare or Social Security or any or all of these will kill people. Just like covid run rampant under the criminal T* did. They don't care if you die. They want you to die. How many times do we have to tell you this?"", 'Trump already destroyed CDC early warning after the COVID debacle killing million Americans;""NOW RFK"", everyone better pray to GOD none of these viruses, measles, Flu, etc. don\'t mutate; ""especially"", COVID, Bird Flu or new variant of Smallpox killing everyone; ""GOV. Military Dustin Hoffman movie""!']","0, covid, people, vaccines, vaccine",11054
2,1,384,1_masks_mask_wear_wearing,"['masks', 'mask', 'wear', 'wearing', 'masking', 'wear masks', 'wearing masks', 'masks covid', 'covid', 'people']","[""This is bullshit? They wouldn't wear masks dueing COVID to save a life but wear them now to protect their Gestapo actions"", 'The same pricks that were bitching about us wearing masks during Covid are the ones wearing mask now to try and hide their crime.', ""There's a reason they wear masks, and it ain't Covid.""]","1, masks, mask, wear, wearing",384
3,2,276,2_uk_tories_labour_brexit,"['uk', 'tories', 'labour', 'brexit', 'tory', 'fraud', 'covid fraud', 'johnson', 'money', 'nhs']","['Its what they want. During Covid our then Prime Minister Boris Johnson was heard to say in a rage Let the bodies pile high!His father Stanley (A friend of Trump) has said instead of the UK population being 61 million it needs to be closer to 10-15 million? Do the Elites now want to kill us off?', 'He wants to allegedly reduce the population spurred on by his old mate Stanley Johnson (Boris Johnsons Dad) who thinks the UK population should be 10 million not 68 million. During Covid Boris our Prime Minister said let the bodies pile high We had high death rates due to poor government advice', ""They lied in 2014, about Better Together, Delivered Brexit, Stole as much as they could, during Covid, while in Power, with Fraudulent Contracts found Guilty & given Ermine Robes & Destroyed UK's Economy & Labour now stir the UK's Bankrupt Broken Britain & now Starmer is Complicit in Genocide.""]","2, uk, tories, labour, brexit",276
4,3,176,3_shes_covid_lady_did,"['shes', 'covid', 'lady', 'did', 'zionist', 'conspiracy', 'vaccine', 'like', 'people', 'infecting']","['Did Deborah Birx just admit the COVID ""vaccine"" wasnt designed to prevent infection? Now shes trying to gaslight usbut we remember the truth.', 'hi queer community, fellow queer. pls let lady gaga go. we dont need her. shes a zionist & doesnt care about infecting our community with covid at her concerts. she doesnt care if you live or die. stop supporting her.', 'Reynolds tried to kill off Iowans during Covid by refusing to lock anything down nor providing accurate data. Shes trying to finish the job. Iowa, the second highest rate of cancer in the country and the highest rate of growth. She can help Vance to sell farms to China via AcreTrader. Evil.']","3, shes, covid, lady, did",176
5,4,172,4_fauci_anthony_anthony fauci_function,"['fauci', 'anthony', 'anthony fauci', 'function', 'gain function', 'dr', 'dr fauci', 'lied', 'gain', 'fauci lied']","['Y: Nobody elected Anthony Fauci when he basically supervised the program to invent COVID, nobody elected Anthony Fauci when he covered it up. Nobody elected Anthony Fauci when he told us to stand six feet apart based on a science fair project that nobody actually knows where that number came from.', 'Those institutions are quite unaccountable, Yarvin said. Nobody elected Anthony Fauci when he basically supervised the program to invent Covid. Nobody elected Anthony Fauci when he covered it up. Where to begin?', 'Fauci lied to us about his finances. Fauci lied about Covid mortality. Fauci lied about the safety of mRNA shots. Fauci lied about gain-of-function research. Fauci lied under oath. And Fauci was just pardoned by Biden. This is absolutely disgraceful.']","4, fauci, anthony, anthony fauci, function",172
6,5,163,5_musk_elon_trump_trump musk,"['musk', 'elon', 'trump', 'trump musk', 'musk trump', 'elon musk', 'musks', 'americans', 'covid', 'musktrump']","['Hopefully they tie Musk to Trump. MAGA will blame Musk and give Trump a pass. It will all be Musks fault. Just like Covid, it was all Faucis fault. Trump was innocent!!! This is why Musk is doing all the talking. It give Trump plausible deniability', ""This new age plan is basically an improvement on the strategy Hitler had taken affection to. Elon Musk's grand father was a Hitler supporter and a racists, so is Musk's mother. I advanced that Musk has weaponized the Sars-CoV-2 virus that gave us the Covid-19 pandemic."", 'I have reasons to suspect that Musk weaponized Covid-19 and killed 7 million people. Musk got the idea from a book by William McKaskill. Like everything else, Musk got all his ideas from science fiction lore and half-baked philosophers.']","5, musk, elon, trump, trump musk",163
7,6,116,6_canada_trudeau_ford_canadians,"['canada', 'trudeau', 'ford', 'canadians', 'alberta', 'doug', 'canadian', 'doug ford', 'canadas', 'ontario']","['Canada&#128;s COVID cover-up: Health officials swore secrecy to protect Trudeau from vaccine scandal', ""Trudeau did, even after he directed billions in additional federal healthcare transfers to the provinces during Covid, to help them deal with the pandemic. Ontario Premier Doug Ford disappeared and could not account for over $4 billion of that. It's probably in his offshore bank accounts."", 'Recall that Doug Ford didnt need a new mandate to spend $40billion during the pandemic. Doug Ford admitted when in need of PPE during COVID, he called Donald Trump to request it. Did Ford dial up Donald Trump on his personal phone and request Trump help stage a Canadian Bacon faux trade war?']","6, canada, trudeau, ford, canadians",116
8,7,104,7_facebook_zuckerberg_censor_mark zuckerberg,"['facebook', 'zuckerberg', 'censor', 'mark zuckerberg', 'twitter', 'censored', 'mark', 'fb', 'banned', 'meta']","['Remember when Twitter and Facebook banned people for who said the CDC was lying about the vaccine stopping people from getting or spreading COVID? Or when they said 6ft of distance was just made up BS? Yeah turns out they were right.', ""And you claimed it wasn't about censorship. Remember when Twitter and Facebook banned people for who said the CDC was lying about the vaccine stopping people from getting or spreading COVID? Or when they said 6ft of distance was just made up BS? Yeah turns out they were right."", 'Remember when Twitter and Facebook banned people for who said the CDC was lying about the vaccine stopping people from getting or spreading COVID? Or when they said 6ft of distance was just made up BS? Yeah turns out they were right. Sorry but the fact checkers were liars.']","7, facebook, zuckerberg, censor, mark zuckerberg",104
9,8,103,8_plandemic_real plandemic_real_plandemic 20,"['plandemic', 'real plandemic', 'real', 'plandemic 20', 'plandemic real', 'actual plandemic', 'incoming', 'morons', 'factual evidence', 'plandemic actual']","['plandemic', 'One might even call that a plandemic?', 'Plandemic indeed.']","8, plandemic, real plandemic, real, plandemic 20",103
10,9,98,9_ballots_2020_election_mail,"['ballots', '2020', 'election', 'mail', 'voting', 'mailin', 'mail ballots', 'won', 'rigged', '2024']","['As I said, I believe this was the plan all along, and the timing of it was chosen to take Trump out and give a reason to implement mail-in ballots. Biden ended up winning by around 100,000 votes spread out between a few key swing states. No chance he would have won without mail-in ballots and covid', 'Election laws were changed in the name of Covid to allow for millions of fake mail in ballots. The 2024 election just showed that Trump won every single swing state without those additional fake ballots. proof the election of 2020 was stolen. Trump never admitted to doing anything illegal.', ""They would have stolen the 2020 election if it wasn't for mail ballots..... covid with the mail and ballots ruined their chance of stealing the election They are not taking that chance again""]","9, ballots, 2020, election, mail",98
