,Topic,Count,Name,Representation,Representative_Docs,Rep_Words,Doc_Count
1,0,1477,0_illuminati_globalist_illuminatiam_join,"['illuminati', 'globalist', 'illuminatiam', 'join', 'light', 'join illuminati', 'globalist agenda', 'agenda', 'global', 'follow']","['All part of the globalist agenda?', 'I stand with you. JOIN THE ILLUMINATI #jointheilluminati', ""That's true JOIN THE ILLUMINATI #jointheilluminati""]","0, illuminati, globalist, illuminatiam, join",1477
2,1,1123,1_freemasonry_freemasons_freemason_israel,"['freemasonry', 'freemasons', 'freemason', 'israel', 'jews', 'freemasonry brotherhood', 'brotherhood', 'jewish', 'occultism', 'amp']","['#36 Violation under the Color of Law, Illegal Freemasonry Brotherhood Occultic Violent Religion that is not Legal in the Country &amp; Prohibited under Religious Test which Freemasonry FBI Analyst ignore, Pretend &amp; Violate the Laws to Carry out Occultism. They are a Danger to themsel', '#4 Freemasonry Brotherhood Members in the Gov System do not have Constitutional Authority to Practice Occultism on the Job, in the Government System &amp; in the Country. FBI Analyst Stop your illegal interference in Alicia Hayes Life, Stop forcing your Occultism on her Children', 'Get out of FreeMasons!!']","1, freemasonry, freemasons, freemason, israel",1123
3,2,1060,2_depopulation_depopulation agenda_population_population control,"['depopulation', 'depopulation agenda', 'population', 'population control', 'agenda', 'control', 'bilderberg', 'uk', 'agenda depopulation', 'labour']","['The depopulation agenda', 'About the Depopulation Agenda', 'Depopulation is on the agenda']","2, depopulation, depopulation agenda, population, population control",1060
4,3,721,3_obama_deep state_deep_biden,"['obama', 'deep state', 'deep', 'biden', 'state', 'flynn', 'obamas', 'maga', 'treason', 'trump']","[""IT'S HAPPENING! Trump posts another message with a picture stating that ALL ROADS LEAD to OBAMA, and if we, the people, want to see military tribunals. The deep state can not hide the truth any longer, it's all flowing out. Since Trump took office and DOGE starting uncovering the massive amounts of corruption, everything is beginning to line up, and all the evidence is there. We know that Biden was not coherent or of sound mind during his presidency, especially when it comes to the autopen scandal and many more. The question is, who was really in charge of the Biden presidency? What if I told you that not only was Obama allegedly running the show for Biden, but was raised and molded by members of our own government and the CIA, to one day infiltrate American politics, and start the down downfall of America, and destroy the country from within? There are no coincidences. The truth is coming and all roads lead to Obama."", ""IT'S HAPPENING! Trump posts another message with a picture stating that ALL ROADS LEAD to OBAMA, and if we, the people, want to see military tribunals. The deep state can not hide the truth any longer, it's all flowing out. Since Trump took office and DOGE starting uncovering the massive amounts of corruption, everything is beginning to line up, and all the evidence is there. We know that Biden was not coherent or of sound mind during his presidency, especially when it comes to the autopen scandal and many more. The question is, who was really in charge of the Biden presidency? What if I told you that not only was Obama allegedly running the show for Biden, but was raised and molded by members of our own government and the CIA, to one day infiltrate American politics, and start the down downfall of America, and destroy the country from within? There are no coincidences. The truth is coming and all roads lead to Obama."", '""IT\'S HAPPENING! Trump posts another message with a picture stating that ALL ROADS LEAD to OBAMA, and if we, the people, want to see military tribunals. The deep state can not hide the truth any longer, it\'s all flowing out. Since Trump took office and DOGE starting uncovering the massive amounts of corruption, everything is beginning to line up, and all the evidence is there. We know that Biden was not coherent or of sound mind during his presidency, especially when it comes to the autopen scandal and many more. The question is, who was really in charge of the Biden presidency? What if I told you that not only was Obama allegedly running the show for Biden, but was raised and molded by members of our own government and the CIA, to one day infiltrate American politics, and start the down downfall of America, and destroy the country from within? There are no coincidences. The truth is coming and all roads lead to Obama."" CrazyDutch17']","3, obama, deep state, deep, biden",721
5,4,695,4_canada_carney_canadians_canadian,"['canada', 'carney', 'canadians', 'canadian', 'wef', 'globalist', 'mark carney', 'agenda', 'mark', '2030']","['The pit viper Carney is now showing his fangs! He wants to use his venom to poison your rights to free speech! Mark Carney was ""elected"" Prime Minister of Canada (really Ottawa), against an apologetic controlled opposition ""conservative"" Poilievre. The term ""Carney Barker"" springs to mind, i.e. a carnival employee tasked with hawking the shady, unbeatable games roadside carnivals are famous for! Does he also have ""under the covers"" links to the ongoing Epstein pedophilia and transgender abscesses? This time his task is to continue hurling Canada into the globalist arms of the elite grifters and thieves of the CCP, WEF, IMF, WHO, and their fiat ""debt-money"" Bankster Cartel, of which Carney is a well paid stooge with millions in off shore accounts! Right out of the rigged ballot box he\'s pulling the faux ""climate emergency"" ding dong bell to tighten the globalist stranglehold on free enterprise and Peoples\' liberty by threatening all Canadians to ""step in line."" Canada is a pea in the pod with neo feudal totalitarian nightmare Great Britain and the European Union. Their doctors are hamstrung by big C$PharmaC$ corrupted PHAC & CMA to push damaging treatments, e.g. Canadian citizens are being bludgeoned into taking deadly bioweapon C$covidC$ C$vaccinesC$ by illegal mandates backed by C$corruptC$ judges, along with deadly immune destroying big C$pharmaC$ chemo/radiation C$treatmentsC$ for cancers. Real effective cures are all outlawed! Canadians have no right to bear arms. In fact, even hunting guides are forbidden to carry common hunting rifles. They have followed their Bitch Mother Great Britain in disarming their subjects, leaving the People helpless in the face of ""elite"" Globalist government tyrannies: State sponsored bioterrorism, waves of openly hostile replacement immigrants with incompatible cultures, loss of free speech and other civil rights, and thuggery in general. The ""leaders"" can get by with anything, including seizing your bank accounts and ""go fund me"" support & legal fee help C$ based on bogus charges for ""wrong think"" or talking to a neighbor. or driving your truck to a protest rally! Just declare an ""Emergency"" and trample over the weak Canadian Constitution and the brutalized populace will be neutered. Canadians would be better off under the protections of the US Constitution and Bill of Rights, but that too is under globalist attack. Governments will eventually dismember their citizens if not bound by the chains of a fiercely defended Constitution and Bill of Rights. Remember, a ""Carney Barker"" is not your friend, he\'s a huckster, intent on stripping you of your money (really ""their"" money), your rights (the few you have left), and everything you own. The Banksters will own everything and you will own nothing and Be... Oh...So...Happy! Not a chance! But only if patriotic freedom loving Canadians will stand up to this aspiring tyrant! Consider changing allegiance to the United States and its Constitution and Bill of Rights! Go Alberta! Go British Columbia! Go Manitoba! Go New Brunswick! Go Newfoundland! Go Labrador! Go Nova Scotia! Go Prince Edward Island! Go Quebec! Go Saskatchewan! Go Northwest Territories! Go Yukon! Go Nunavut! Ontario is seemingly lost! Imagine a wholesale defection from the tyrants in Ottawa, running all the way up to Alaska!', 'The pit viper Carney is now showing his fangs! He wants to use his venom to poison your rights to free speech! Mark Carney was ""elected"" Prime Minister of Canada (really Ottawa), against an apologetic controlled opposition ""conservative"" Poilievre. The term ""Carney Barker"" springs to mind, i.e. a carnival employee tasked with hawking the shady, unbeatable games roadside carnivals are famous for! Does he also have ""under the covers"" links to the ongoing Epstein pedophilia abscess? This time his task is to continue hurling Canada into the globalist arms of the elite grifters and thieves of the CCP, WEF, IMF, WHO, and their fiat ""debt-money"" Bankster Cartel, of which Carney is a well paid stooge with millions in off shore accounts! Right out of the rigged ballot box he\'s pulling the faux ""climate emergency"" ding dong bell to tighten the globalist stranglehold on free enterprise and Peoples\' liberty by threatening all Canadians to ""step in line."" Canada is a pea in the pod with neo feudal totalitarian nightmare Great Britain and the European Union. Their doctors are hamstrung by big C$PharmaC$ corrupted PHAC & CMA to push damaging treatments, e.g. Canadian citizens are being bludgeoned into taking deadly bioweapon C$covidC$ C$vaccinesC$ by illegal mandates backed by C$corruptC$ judges, along with deadly immune destroying big C$pharmaC$ chemo/radiation C$treatmentsC$ for cancers. Real effective cures are all outlawed! Canadians have no right to bear arms. In fact, even hunting guides are forbidden to carry common hunting rifles. They have followed their Bitch Mother Great Britain in disarming their subjects, leaving the People helpless in the face of ""elite"" Globalist government tyrannies: State sponsored bioterrorism, waves of openly hostile replacement immigrants with incompatible cultures, loss of free speech and other civil rights, and thuggery in general. The ""leaders"" can get by with anything, including seizing your C$ bank accounts and ""go fund me"" C$ support & legal fee help, based on bogus charges for ""wrong think"" or talking to a neighbor, or driving your truck to a protest rally! Just declare an ""emergency,"" declare your own citizens ""terrorists"" and trample over the weak Canadian Constitution and the brutalized populace will be neutered. Canadians would be better off under the protections of the US Constitution and Bill of Rights, but that too is under globalist attack. Governments will eventually dismember their citizens if not bound by the chains of a fiercely defended Constitution and Bill of Rights. Remember, a ""Carney Barker"" is not your friend, he\'s a huckster, intent on stripping you of your money (really ""their"" money), your rights (the few you have left), and everything you own. The Banksters will own everything and you will own nothing and Be... Oh...So...Happy! Not a chance! But only if patriotic freedom loving Canadians will stand up to this aspiring tyrant! Consider changing allegiance to the United States and its Constitution and Bill of Rights! Go Alberta! Go British Columbia! Go Manitoba! Go New Brunswick! Go Newfoundland! Go Labrador! Go Nova Scotia! Go Prince Edward Island! Go Quebec! Go Saskatchewan! Go Northwest Territories! Go Yukon! Go Nunavut! Ontario is seemingly lost! Imagine a wholesale defection to the United States of America from the tyrants in Ottawa, running all the way up to Alaska!', 'The pit viper Carney is now showing his fangs! He wants to use his venom to poison your rights to free speech! Mark Carney was ""elected"" Prime Minister of Canada (really Ottawa), against an apologetic controlled opposition ""conservative"" Poilievre. The term ""Carney Barker"" springs to mind, i.e. a carnival employee tasked with hawking the shady, unbeatable games roadside carnivals are famous for! Does he also have ""under the covers"" links to the ongoing Epstein pedophilia abscess? This time his task is to continue hurling Canada into the globalist arms of the elite grifters and thieves of the CCP, WEF, IMF, WHO, and their fiat ""debt-money"" Bankster Cartel, of which Carney is a well paid stooge with millions in off shore accounts! Right out of the rigged ballot box he\'s pulling the faux ""climate emergency"" ding dong bell to tighten the globalist stranglehold on free enterprise and Peoples\' liberty by threatening all Canadians to ""step in line."" Canada is a pea in the pod with neo feudal totalitarian nightmare Great Britain and the European Union. Their doctors are hamstrung by big C$PharmaC$ corrupted PHAC & CMA to push damaging treatments, e.g. Canadian citizens are being bludgeoned into taking deadly bioweapon C$covidC$ C$vaccinesC$ by illegal mandates backed by C$corruptC$ judges, along with deadly immune destroying big C$pharmaC$ chemo/radiation C$treatmentsC$ for cancers. Real effective cures are all outlawed! Canadians have no right to bear arms. In fact, even hunting guides are forbidden to carry common hunting rifles. They have followed their Bitch Mother Great Britain in disarming their subjects, leaving the People helpless in the face of ""elite"" Globalist government tyrannies: State sponsored bioterrorism, waves of openly hostile replacement immigrants with incompatible cultures, loss of free speech and other civil rights, and thuggery in general. The ""leaders"" can get by with anything, including seizing your C$ bank accounts and ""go fund me"" C$ support & legal fee help, based on bogus charges for ""wrong think"" or talking to a neighbor, or driving your truck to a protest rally! Just declare an ""emergency,"" declare your own citizens ""terrorists"" and trample over the weak Canadian Constitution and the brutalized populace will be neutered. Canadians would be better off under the protections of the US Constitution and Bill of Rights, but that too is under globalist attack. Governments will eventually dismember their citizens if not bound by the chains of a fiercely defended Constitution and Bill of Rights. Remember, a ""Carney Barker"" is not your friend, he\'s a huckster, intent on stripping you of your money (really ""their"" money), your rights (the few you have left), and everything you own. The Banksters will own everything and you will own nothing and Be... Oh...So...Happy! Not a chance! But only if patriotic freedom loving Canadians will stand up to this aspiring tyrant! Consider changing allegiance to the United States and its Constitution and Bill of Rights! Go Alberta! Go British Columbia! Go Manitoba! Go New Brunswick! Go Newfoundland! Go Labrador! Go Nova Scotia! Go Prince Edward Island! Go Quebec! Go Saskatchewan! Go Northwest Territories! Go Yukon! Go Nunavut! Ontario is seemingly lost! Imagine a wholesale defection to the United States of America from the tyrants in Ottawa, running all the way up to Alaska!']","4, canada, carney, canadians, canadian",695
6,5,544,5_wwg1wga_ncswic_wwg1wga wwg1wga_ncswic wwg1wga,"['wwg1wga', 'ncswic', 'wwg1wga wwg1wga', 'ncswic wwg1wga', 'wwg1wga ncswic', 'wwg1wga wethepeople', 'wethepeople', 'children', 'wwg1wga know', 'time wwg1wga']","['AustraliaOne WWG1WGA', 'The When, Is Now WWG1WGA', 'Get them all!!!!!WWG1WGA']","5, wwg1wga, ncswic, wwg1wga wwg1wga, ncswic wwg1wga",544
7,6,540,6_nwo_antichrist_nwo nwo_welcome nwo,"['nwo', 'antichrist', 'nwo nwo', 'welcome nwo', 'china russia', 'eliminate nwo', 'prepare nwo pt', 'nwo pt', 'prepare nwo', 'pt']","['Because it is. #NWO', 'He will be a part of the NWO..', 'The NWO legalizes this']","6, nwo, antichrist, nwo nwo, welcome nwo",540
8,7,485,7_psyop_psyop psyop_psyop just_psyops,"['psyop', 'psyop psyop', 'psyop just', 'psyops', 'psyop im', 'know', 'know psyop', 'just', 'psyop psyop psyop', 'o7']","['Ibuprofen, paracetamol, and Nurofen are all a psyop', 'This is a psyop', 'THIS IS ALL A PSYOP.']","7, psyop, psyop psyop, psyop just, psyops",485
9,8,427,8_reset_great reset_great_reset great,"['reset', 'great reset', 'great', 'reset great', 'great reset great', 'reset great reset', 'reset going', 'great reset going', 'things', 'going']","['THE GREAT RESET', 'The Great Reset!!!!', 'This IS the Great Reset!']","8, reset, great reset, great, reset great",427
10,9,398,9_elon_musk_trump_elon musk,"['elon', 'musk', 'trump', 'elon musk', 'elonmusk', 'trump elon', 'psyop', 'black eye', 'elons', 'feud']","['This whole Elon / Musk feud is a psyop', '... or the public falling out between Donald TRUMP and Elon MUSK is an attempt to convert Elon MUSK into some form of MANAGED / CONTROLLED OPPOSITION', 'elon musk is controlled opposition']","9, elon, musk, trump, elon musk",398
