,Topic,Count,Name,Representation,Representative_Docs,Rep_Words,Doc_Count
1,0,4939,0_aliens_people_illegal_trump,"['aliens', 'people', 'illegal', 'trump', 'amp', 'did', 'rt', 'alien', 'americans', 'state']","[""No words can explain the total and complete lack of competence demonstrated by so many in Washington D.C. Point #1What the hell was 435 Representatives, 100 Senators, 1 Attorney General, 10,000 F.B.I. agents, 1 President doing at the exact moment 200 Billion was given to Ukraine?Point #2When Brian Terry was murdered then no investigation occuredPoint #3When Myrorkus illegally released 300,000 plus illegal aliens then he is not indicted, WTF is wrong with people?Point #4WHEN 110,000 were sent to Poland and not to our border? WTF is wrong with people?POINT #5When Biden Illegally stopped an already wall from being built, WTF is wrong with peoplePoint #6When Governors violated federal election Law, and counted votes passed legal federal date, WTF is wrong with peoplePoint#79 years ago when California Governor illegally made illegal Sanctuary State policy and no one protested. WTF were people pissed on the Constitution and every one does not blink an eye #8WHEN BIDEN WAS ILLEGALLY SWORN IN AS President after he witnessed Obama committing Treason for 8 were you thinking about Americans?Point #9WHEN 1000 Americans were illegally arrested for protesting an Election Result with More than 200,000 Fraudulent Ballots cast by 2000 Mules, which were not nullified by Election Supervisors, plus Governors counting Ballots passed legal date, plus Tom Fintton discovered 353 Counties had more ballots cast than registered voters. WTF are you thinking about? So much Dereliction of duty by Election Supervisors, Dereliction of duty by Governors, Dereliction of duty by Attorney General, So much Bullsh$ by F.B.I Director, So much Bullsh$ by CONGRESSMEN AND WOMEN NOT LOOKING AT ELECTION MALFEASANCE, Illegal aliens votes not nullified, Governors violating Election Neighbors have been in jail and prison because they would not accept all the bullshi$They are still in Prison today, people on prison, while Mountains of incontrovertible evidence are not looked at. one will stand alone before God, to explain what they did and not did about each crime mentioned in this post. Believe did you not stand up for 1000 Americans, WTFWhy did you not make phone calls to Congress about the tons of fraud in the 2020 Election. WTF Your neighbors are still in Prison did not look at evidence F.B.I. agents did not look at evidence Prosecutors did not look at evidence Congressmen did not look at evidence Police and Sheriff's did not look at evidence 1000 Americans have been Unlawfully Detained under color of law Section 242 for 4 Million Americans Nurses, Pharmaceutical C.E.O.s guilty of killing your neighbors with a poisonous vaccine filled with Graphine oxide. No one is indicted, WTF is wrong with fought on Iwo Jima for 35 DAYS GETTYSBURG FOR 4 DAYSNORMANDY, Tarawa, for the Truth!"", ""No words can explain the total and complete lack of competence demonstrated by so many in Washington D.C. Point #1What the hell was 435 Representatives, 100 Senators, 1 Attorney General, 10,000 F.B.I. agents, 1 President doing at the exact moment 200 Billion was given to Ukraine?Point #2When Brian Terry was murdered then no investigation occuredPoint #3When Myrorkus illegally released 300,000 plus illegal aliens then he is not indicted, WTF is wrong with people?Point #4WHEN 110,000 were sent to Poland and not to our border? WTF is wrong with people?POINT #5When Biden Illegally stopped an already paid for wall from being built, WTF is wrong with peoplePoint #6Governors violated federal election Law, and counted votes passed legal federal date, WTF is wrong with peoplePoint#79 years ago when California Governor illegally made illegal Sanctuary State policy and no one protested. WTF were people pissed on the Constitution and every one does not blink an eye #8WHEN BIDEN WAS ILLEGALLY SWORN IN AS President after he witnessed Obama committing Treason for 8 were you thinking about Americans at that moment?Point #9WHEN 1000 Americans were illegally arrested for protesting an Election Result with More than 200,000 Fraudulent Ballots cast by 2000 Mules, which were not nullified by Election Supervisors, plus Governors counting Ballots passed legal date, plus Tom Fintton discovered 353 Counties had more ballots cast than registered voters. WTF are you thinking about? So much Dereliction of duty by Election Supervisors, Dereliction of duty by Governors and Attorney General, So much Bullsh$ by F.B.I Director, So much Bullsh$ by CONGRESSMEN AND WOMEN NOT LOOKING AT ELECTION MALFEASANCE, Illegal aliens votes not nullified, Governors violating Election Neighbors have been in jail and prison because they would not accept all the bullshi$They are still in Prison today, people in prison, while Mountains of incontrovertible evidence is not looked at. one will stand alone before God, to explain what they did and not did about each crime mentioned in this post. Believe did you not stand up for 1000 Americans, WTFWhy did you not make phone calls to Congress about the tons of fraud in the 2020 Election. WTF Your neighbors are still in Prison did not look at evidence F.B.I. agents did not look at evidence Prosecutors did not look at evidence Congressmen did not look at evidence Police and Sheriff's did not look at evidence 1000 Americans have been Unlawfully Detained under color of law Section 242 for 4 Million Americans Nurses, Pharmaceutical C.E.O.s guilty of killing your neighbors with a poisonous vaccine filled with Graphine oxide. No one is indicted, WTF is wrong with fought on Iwo Jima for 35 DAYS GETTYSBURG FOR 4 DAYSNORMANDY, Tarawa, Mid Way Island for the Truth!"", ""No words can explain the total and complete lack of competence demonstrated by so many in Washington D.C. Point #1What the hell was 435 Representatives, 100 Senators, 1 Attorney General, 10,000 F.B.I. agents, 1 President doing at the exact moment 200 Billion was given to Ukraine?Point #2When Brian Terry was murdered then no investigation occuredPoint #3When Myrorkus illegally released 300,000 plus illegal aliens then he is not indicted, WTF is wrong with people?Point #4WHEN 110,000 were sent to Poland and not to our border? WTF is wrong with people?POINT #5When Biden Illegally stopped an already paid for wall from being built, WTF is wrong with peoplePoint #6Governors violated federal election Law, and counted votes passed legal federal date, WTF is wrong with peoplePoint#79 years ago when California Governor illegally made illegal Sanctuary State policy and no one protested. WTF were people pissed on the Constitution and every one does not blink an eye #8WHEN BIDEN WAS ILLEGALLY SWORN IN AS President after he witnessed Obama committing Treason for 8 were you thinking about Americans at that moment?Point #9WHEN 1000 Americans were illegally arrested for protesting an Election Result with More than 200,000 Fraudulent Ballots cast by 2000 Mules, which were not nullified by Election Supervisors, plus Governors counting Ballots passed legal date, plus Tom Fintton discovered 353 Counties had more ballots cast than registered voters. WTF are you thinking about? So much Dereliction of duty by Election Supervisors, Dereliction of duty by Governors and Attorney General, So much Bullsh$ by F.B.I Director, So much Bullsh$ by CONGRESSMEN AND WOMEN NOT LOOKING AT ELECTION MALFEASANCE, Illegal aliens votes not nullified, Governors violating Election Neighbors have been in jail and prison because they would not accept all the bullshi$They are still in Prison today, people in prison, while Mountains of incontrovertible evidence is not looked at. one will stand alone before God, to explain what they did and not did about each crime mentioned in this post. Believe did you not stand up for 1000 Americans, WTFWhy did you not make phone calls to Congress about the tons of fraud in the 2020 Election. WTF Your neighbors are still in Prison did not look at evidence F.B.I. agents did not look at evidence Prosecutors did not look at evidence Congressmen did not look at evidence Police and Sheriff's did not look at evidence 1000 Americans have been Unlawfully Detained under color of law Section 242 for 4 Million Americans Nurses, Pharmaceutical C.E.O.s guilty of killing your neighbors with a poisonous vaccine filled with Graphine oxide. No one is indicted, WTF is wrong with fought on Iwo Jima for 35 DAYS GETTYSBURG FOR 4 DAYSNORMANDY, Tarawa, Mid Way Island for the Truth!""]","0, aliens, people, illegal, trump",4939
2,1,73,1_smart dust_dust_fog_smart,"['smart dust', 'dust', 'fog', 'smart', 'particulates', 'holograms', 'need', 'drones', 'use', 'alien invasion']","['I dropped a video warning of the coming Global Staged Alien Invasion letting people know they were planning to use Holograms and Drones in the Psy-op. Then the drones showed up in Jersey. Now people think they are spraying ""Smart Dust."" But, they aren\'t conditioning us for smart dust. They are in the beginning stage of an Alien invasion you wouldn\'t need concentrations that thick to get the job done. If they did, it would be a waste, because the target would perish with all those particulates in their lungs. You could use much less expensive particulates if you wanted to kill people with ""fog"" is a medium they are going to project holograms onto. Expect a LOT more fog when the main event starts.', 'I dropped a video warning of the coming Global Staged Alien Invasion letting people know they were planning to use Holograms and Drones in the Psy-op. Then the drones showed up in Jersey. Now people think they are spraying ""Smart Dust."" But, they aren\'t conditioning us for smart dust. They are in the beginning stage of an Alien invasion you wouldn\'t need concentrations that thick to get the job done. If they did, it would be a waste, because the target would perish with all those particulates in their lungs. You could use much less expensive particulates if you wanted to kill people with ""fog"" is a medium they are going to project holograms onto. Expect a LOT more fog when the main event starts.', 'I dropped a video warning of the coming Global Staged Alien Invasion letting people know they were planning to use Holograms and Drones in the Psy-op. Then the drones showed up in Jersey. Now people think they are spraying ""Smart Dust."" But, they aren\'t conditioning us for smart dust. They are in the beginning stage of an Alien invasion you wouldn\'t need concentrations that thick to get the job done. If they did, it would be a waste, because the target would perish with all those particulates in their lungs. You could use much less expensive particulates if you wanted to kill people with ""fog"" is a medium they are going to project holograms onto. Expect a LOT more fog when the main event starts.']","1, smart dust, dust, fog, smart",73
3,2,54,2_aliens ice_aliens ice agents_criminal aliens ice_radio station tips,"['aliens ice', 'aliens ice agents', 'criminal aliens ice', 'radio station tips', 'radio station', 'owned radio station', 'owned radio', 'station tips', 'station tips criminal', 'tips criminal']","['RT @gatewaypunditWATCH: Soros Owned Radio Station Tips off Criminal Aliens to ICE Agents Locations and Vehicle Make and Models in California', 'RT @gatewaypunditWATCH: Soros Owned Radio Station Tips off Criminal Aliens to ICE Agents Locations and Vehicle Make and Models in California', 'RT @gatewaypunditWATCH: Soros Owned Radio Station Tips off Criminal Aliens to ICE Agents Locations and Vehicle Make and Models in California']","2, aliens ice, aliens ice agents, criminal aliens ice, radio station tips",54
4,3,53,3_vaccines_amp_covid_nicotine,"['vaccines', 'amp', 'covid', 'nicotine', 'flu', 'protein', 'like', 'bird flu', 'illegal', 'bird']","['RT @Cherokeegirl005This review paper is groundbreaking because it summarises all the ways that spike protein interferes with DNA damage and repair, i.e. is oncogenic. But we weren\'t allowed to know that when the genetic vaccines - which make your own cells produce spike protein for months - were rolled out, because that would ""induce unnecessary fear and anxiety"" So instead, the NIH recruited Eric Freed to have the first and most important paper retracted (the Jiang-Mei paper) which started the retraction industry funded and organised by pharma and the Arnold see, we are not allowed to generate fear over gene therapy vaccines - even if it is based on real science. No, we are only allowed to fear war, cold wars, ""aliens"", pandemics, ""climate change"", ""acid rain"", ICBMs, nuclear annihilation and all those other stories controlled by governments and money traders that require trillions of dollars ""for our safety"". But cancer inducing gene therapies? Nah, they\'re fine. No problem. Even in pregnant women#m#m', 'OR VACCINES..... INTERESTING TWIST OF AN EPIDEMIC (COVID) JUST IN TIME FOR THE 2020 ELECTION. THEN THEY TRIED TO BRING COVID BACK &amp; IT DIDN&apos;T WORK. THEN THEY CAME UP WITH &apos;MONKEY POX&apos; BUT WE DIDN&apos;T BUY IT. THEN THEY ATTACKED OUR FOOD-CHICKENS &amp; BIRD FLU. HOW COME AMERICA IS THE ONLY NATION THAT GETS BIRD FLU.??? &amp; THAT DIDN&apos;T WORK. THEN SOME ILLEGALS CAME ACROSS WITH CHICKEN POX &amp; DRUG RESISTANT TB &amp; THAT FIZZLED. NOW THEY&apos;RE BRING MEASLES IN THE HELL ARE THEY TRYING SO DAMN HARD TO KILL AMERICA &amp; AMERICANS.??? IS THERE SOMETHING THEY KNOW THAT WE DON&apos;T.??? PROBABLY BUT WHAT.? BESIDES THE USUAL SUSPECTS: GREED &amp; POWER.? I MEAN, HOW MANY MILLIONS, BILLIONS, TRILLIONS, HOMES, CARS DO YOU NEED TO FEEL HAPPY, SAFE &amp; SECURE.??? &amp; HAVE ENOUGH TO HOUSE &amp; FEED EVERY REAL BORN AMERICAN WITH REAL AMERIAN PARENTS &amp; GIVE THEM AN EDUCATION, JOB &amp; CAR WITH PLENTY LEFT OVER, YOU KNOW LIKE THE PSYCHO SICKO EVIL DEMONS C RATS ARE GIVING TO ALL THE ILLEGAL RADICAL ALIEN MUSLIMS &amp; ME LIBERTY OR GIVE ME DEATH. Q+ FOR GOD, FAMILY, USA, DJT, PURSUE TRUTH DEFEND LIBERTY, WWG1GWA &amp; FAFO', 'OR VACCINES..... INTERESTING TWIST OF AN EPIDEMIC (COVID) JUST IN TIME FOR THE 2020 ELECTION. THEN THEY TRIED TO BRING COVID BACK &amp; IT DIDN&apos;T WORK. THEN THEY CAME UP WITH &apos;MONKEY POX&apos; BUT WE DIDN&apos;T BUY IT. THEN THEY ATTACKED OUR FOOD-CHICKENS &amp; BIRD FLU. HOW COME AMERICA IS THE ONLY NATION THAT GETS BIRD FLU.??? &amp; THAT DIDN&apos;T WORK. THEN SOME ILLEGALS CAME ACROSS WITH CHICKEN POX &amp; DRUG RESISTANT TB &amp; THAT FIZZLED. NOW THEY&apos;RE BRING MEASLES IN THE HELL ARE THEY TRYING SO DAMN HARD TO KILL AMERICA &amp; AMERICANS.??? IS THERE SOMETHING THEY KNOW THAT WE DON&apos;T.??? PROBABLY BUT WHAT.? BESIDES THE USUAL SUSPECTS: GREED &amp; POWER.? I MEAN, HOW MANY MILLIONS, BILLIONS, TRILLIONS, HOMES, CARS DO YOU NEED TO FEEL HAPPY, SAFE &amp; SECURE.??? &amp; HAVE ENOUGH TO HOUSE &amp; FEED EVERY REAL BORN AMERICAN WITH REAL AMERIAN PARENTS &amp; GIVE THEM AN EDUCATION, JOB &amp; CAR WITH PLENTY LEFT OVER, YOU KNOW LIKE THE PSYCHO SICKO EVIL DEMONS C RATS ARE GIVING TO ALL THE ILLEGAL RADICAL ALIEN MUSLIMS &amp; ME LIBERTY OR GIVE ME DEATH. Q+ FOR GOD, FAMILY, USA, DJT, PURSUE TRUTH DEFEND LIBERTY, WWG1GWA &amp; FAFO']","3, vaccines, amp, covid, nicotine",53
5,4,51,4_edition_alien aircraft_secret alien aircraft_investigation secret alien,"['edition', 'alien aircraft', 'secret alien aircraft', 'investigation secret alien', 'investigation secret', 'groundbreaking', 'pm', 'retrieval program', 'triggered', 'secret alien']","['RT @DonaldJTrumpJrSpecial edition of Triggered today at 5 pm ET Groundbreaking investigation into secret alien aircraft retrieval program See you on Rumble!!!', 'RT @DonaldJTrumpJrSpecial edition of Triggered today at 5 pm ET Groundbreaking investigation into secret alien aircraft retrieval program See you on Rumble!!!', 'RT @DonaldJTrumpJrSpecial edition of Triggered today at 5 pm ET Groundbreaking investigation into secret alien aircraft retrieval program See you on Rumble!!!']","4, edition, alien aircraft, secret alien aircraft, investigation secret alien",51
6,5,50,5_takeaways_new episode_episode_fog medium,"['takeaways', 'new episode', 'episode', 'fog medium', 'project holograms', 'medium', 'conditioning', 'fog', 'hear', 'proof']","[""New Episode! Key Takeaways: It's NOT Smart are conditioning us for a fake Alien/Interdimensional attack. The fog is a medium to project Holograms onto that you can HEAR and even PROOF that Plazmoids TALK/Sing."", ""New Episode! Key Takeaways: It's NOT Smart are conditioning us for a fake Alien/Interdimensional attack. The fog is a medium to project Holograms onto that you can HEAR and even PROOF that Plazmoids TALK/Sing."", ""New Episode! Key Takeaways: It's NOT Smart are conditioning us for a fake Alien/Interdimensional attack. The fog is a medium to project Holograms onto that you can HEAR and even PROOF that Plazmoids TALK/Sing.""]","5, takeaways, new episode, episode, fog medium",50
7,6,50,6_abortion_sheaposs_aliens_amp,"['abortion', 'sheaposs', 'aliens', 'amp', 'alien', 'aoc', 'kamala', 'nm', 'loves', 'illegal']","['We arent all stupid, hispanic, illegal, or democrat. I actually live in RED Valencia countyLos Lunas. My grandmother was born in NM when it was a territory. Our gov, MLG loves abortion till birth and just funded a big abortion clinic to help serve surrounding states. Tamalewood, Zorro ranch, corrupt politicians, open border, last in education, first in crime. Its full of dreamers and the gov is facebook friends with the leader of the santa fe satanic church. No wonder she loves abortion till birth. There is also a picture floating around that seems to be her dancing with the leader of the Burquenos gang at his get out if jail party. She had a treasure trove if bad press during covid. We had Epstein that got swept under the rug. We have Tamalewood and Netflix and Los Alamos Natl lab (remember Wen Ho Li?) and tunnels and cattle mutilation and ufos and a whole lot of indigenous women that disappear. I wish DOGE and the FBI would shine a bright light on NM.', 'RT @Lovepotion9We arent all stupid, hispanic, illegal, or democrat. I actually live in RED Valencia countyLos Lunas. My grandmother was born in NM when it was a territory. Our gov, MLG loves abortion till birth and just funded a big abortion clinic to help serve surrounding states. Tamalewood, Zorro ranch, corrupt politicians, open border, last in education, first in crime. Its full of dreamers and the gov is facebook friends with the leader of the santa fe satanic church. No wonder she loves abortion till birth. There is also a picture floating around that seems to be her dancing with the leader of the Burquenos gang at his get out if jail party. She had a treasure trove if bad press during covid. We had Epstein that got swept under the rug. We have Tamalewood and Netflix and Los Alamos Natl lab (remember Wen Ho Li?) and tunnels and cattle mutilation and ufos and a whole lot of indigenous women that disappear. I wish DOGE and the FBI would shine a bright light on NM.', 'RT @Lovepotion9We arent all stupid, hispanic, illegal, or democrat. I actually live in RED Valencia countyLos Lunas. My grandmother was born in NM when it was a territory. Our gov, MLG loves abortion till birth and just funded a big abortion clinic to help serve surrounding states. Tamalewood, Zorro ranch, corrupt politicians, open border, last in education, first in crime. Its full of dreamers and the gov is facebook friends with the leader of the santa fe satanic church. No wonder she loves abortion till birth. There is also a picture floating around that seems to be her dancing with the leader of the Burquenos gang at his get out if jail party. She had a treasure trove if bad press during covid. We had Epstein that got swept under the rug. We have Tamalewood and Netflix and Los Alamos Natl lab (remember Wen Ho Li?) and tunnels and cattle mutilation and ufos and a whole lot of indigenous women that disappear. I wish DOGE and the FBI would shine a bright light on NM.']","6, abortion, sheaposs, aliens, amp",50
8,7,48,7_drones_showed_plan stage_using drones,"['drones', 'showed', 'plan stage', 'using drones', 'invasion using', 'alien invasion using', 'projected', 'stage fake', 'sets', 'sprayed']","['BEFORE the DRONES showed up in Jersey, I showed their plan to stage a FAKE Global Alien Invasion using DRONES and HOLOGRAMS. the end of this video, There is footage of a Hologram projected onto a cloud (likely sprayed by drones) that EXPLODES, with FULL AUDIO that sets off car alarms!', 'BEFORE the DRONES showed up in Jersey, I showed their plan to stage a FAKE Global Alien Invasion using DRONES and HOLOGRAMS. the end of this video, There is footage of a Hologram projected onto a cloud (likely sprayed by drones) that EXPLODES, with FULL AUDIO that sets off car alarms!', 'BEFORE the DRONES showed up in Jersey, I showed their plan to stage a FAKE Global Alien Invasion using DRONES and HOLOGRAMS. the end of this video, There is footage of a Hologram projected onto a cloud (likely sprayed by drones) that EXPLODES, with FULL AUDIO that sets off car alarms!']","7, drones, showed, plan stage, using drones",48
9,8,35,8_going_news ufos_oclock_ufos amp uaps,"['going', 'news ufos', 'oclock', 'ufos amp uaps', 'miss rt', 'going want', 'amp uaps', 'wednesday', 'thursday', 'little bit']","['RT @DonaldJTrumpJrBreaking news on UFOs &amp; UAPs and what we actually know. Going live on Rumble in a few minutes my triggered podcast check it out. Its a little bit early because were going on Wednesday at five instead of the usual 6 oclock on Monday and Thursday, but you are not going to want to miss this one.', 'RT @DonaldJTrumpJrBreaking news on UFOs &amp; UAPs and what we actually know. Going live on Rumble in a few minutes my triggered podcast check it out. Its a little bit early because were going on Wednesday at five instead of the usual 6 oclock on Monday and Thursday, but you are not going to want to miss this one.', 'RT @DonaldJTrumpJrBreaking news on UFOs &amp; UAPs and what we actually know. Going live on Rumble in a few minutes my triggered podcast check it out. Its a little bit early because were going on Wednesday at five instead of the usual 6 oclock on Monday and Thursday, but you are not going to want to miss this one.']","8, going, news ufos, oclock, ufos amp uaps",35
10,9,33,9_arresting deporting_biden let_media finally_deporting,"['arresting deporting', 'biden let', 'media finally', 'deporting', 'checkers', 'killer', 'aliens biden', 'rapist', 'arresting', 'covering']","['RT @WhiteHouseThe media is finally covering the rapist and killer aliens Biden let inwhile Trump is arresting and deporting not checkers.', 'RT @WhiteHouseThe media is finally covering the rapist and killer aliens Biden let inwhile Trump is arresting and deporting not checkers.', 'RT @WhiteHouseThe media is finally covering the rapist and killer aliens Biden let inwhile Trump is arresting and deporting not checkers.']","9, arresting deporting, biden let, media finally, deporting",33
